time,t2m_kelvin,precip_m,pot_evap_m,soil_water_l1,soil_water_l2,solar_rad_jm2,year,month,t2m_celsius,precip_mm,pot_evap_mm,solar_rad_mjm2,source
2013-05-01,285.8612326816853,0.0011683200126923702,-0.007914173378450082,0.320046765200364,0.3275923229629404,21257769.560364727,2013,5,12.71,36.22,245.34,658.991,ERA5_real
2013-06-01,292.3203064149154,0.0006560845231092031,-0.010286911636001412,0.22631963893232837,0.2415658009308471,24184157.944766726,2013,6,19.17,19.68,308.61,725.525,ERA5_real
2013-07-01,293.1567166566707,0.0030027763695080795,-0.007082387973556468,0.3036786792508279,0.270650471044256,19424524.574399587,2013,7,20.01,93.09,219.55,602.16,ERA5_real
2013-08-01,291.7405786714081,0.0030014146913862404,-0.006033234585511514,0.33544493943868287,0.32340673745550264,16453185.343364181,2013,8,18.59,93.04,187.03,510.049,ERA5_real
2013-09-01,285.94283947462884,0.000712614980057416,-0.005093219202996855,0.2886409161699727,0.29091562135962445,12642049.932902994,2013,9,12.79,21.38,152.8,379.261,ERA5_real
2013-10-01,277.6533795333133,0.0009086065545393182,-0.002649445737247248,0.32758446291657645,0.29990022292812174,6278444.847180126,2013,10,4.5,28.17,82.13,194.632,ERA5_real
2013-11-01,273.87437230801453,0.0006600415629942866,-0.001492546958137572,0.33787884735646323,0.3228260261936603,3734706.759651211,2013,11,0.72,19.8,44.78,112.041,ERA5_real
2013-12-01,265.16690046731316,0.001374913235257734,-0.00044143636715647397,0.3403211539892911,0.32678738020615095,2656996.4399386263,2013,12,-7.98,42.62,13.68,82.367,ERA5_real
2014-01-01,257.2927944899115,0.0009224782119963053,-0.00013524714390876141,0.32653902970578425,0.31771787355042264,3934633.7365740845,2014,1,-15.86,28.6,4.19,121.974,ERA5_real
2014-02-01,255.24419837185422,0.0007913820597817278,-0.0001644796650827108,0.32159779207153266,0.31185678504320996,7560154.730981272,2014,2,-17.91,22.16,4.61,211.684,ERA5_real
2014-03-01,270.46007299259435,0.0007701246900139171,-0.001158653904449932,0.37447186330392973,0.35107091523126094,12496073.118504096,2014,3,-2.69,23.87,35.92,387.378,ERA5_real
2014-04-01,277.85103280727117,0.0009187224622352416,-0.005291661340536948,0.3752306300202025,0.3794824873449661,17958055.881029844,2014,4,4.7,27.56,158.75,538.742,ERA5_real
2014-05-01,288.59160656439883,0.0007773094124236709,-0.0090039831004139,0.2574168689762331,0.2771631542360587,22259709.65031863,2014,5,15.44,24.1,279.12,690.051,ERA5_real
2014-06-01,293.969128460908,0.0008262425039786724,-0.010000433166042192,0.22953801407600527,0.23392678948561763,23963926.961619552,2014,6,20.82,24.79,300.01,718.918,ERA5_real
2014-07-01,291.1296301806884,0.002598345440777518,-0.007575348215744554,0.29279925253315714,0.2587212651712043,19071843.358259898,2014,7,17.98,80.55,234.84,591.227,ERA5_real
2014-08-01,294.4986641028172,0.0009148684043375284,-0.008178360571596342,0.2541158502885022,0.25914487134066144,19163868.66458595,2014,8,21.35,28.36,253.53,594.08,ERA5_real
2014-09-01,284.2278648139306,0.0008534703066115323,-0.005010021716255711,0.25305015053899965,0.23681482501518408,12405506.66388501,2014,9,11.08,25.6,150.3,372.165,ERA5_real
2014-10-01,275.99472728134435,0.0016478410196804853,-0.0025152965161594956,0.34255291526183457,0.3012639196517517,5933624.959090193,2014,10,2.84,51.08,77.97,183.942,ERA5_real
2014-11-01,266.4468802184557,0.0009366338907530367,-0.0005451824117943063,0.35124418115450706,0.33681506630518604,3745192.2317970167,2014,11,-6.7,28.1,16.36,112.356,ERA5_real
2014-12-01,262.7153681395614,0.0009847004956908367,-0.0001595362151960323,0.33333913513828684,0.32012309672688694,2855217.1483510584,2014,12,-10.43,30.53,4.95,88.512,ERA5_real
2015-01-01,259.8050025536461,0.0007934633946160938,-0.00012294888356838263,0.3265850106710521,0.3131048235463498,4035592.8318667808,2015,1,-13.34,24.6,3.81,125.103,ERA5_real
2015-02-01,262.44085865617154,0.00044082154323512955,-0.00024299194147820385,0.32219887639686523,0.3074934136484721,7536621.064556667,2015,2,-10.71,12.34,6.8,211.025,ERA5_real
2015-03-01,267.641674842288,0.0007997950057722404,-0.0007764445576175711,0.35403904234107386,0.3248242605022765,12638247.768116191,2015,3,-5.51,24.79,24.07,391.786,ERA5_real
2015-04-01,278.5043460210476,0.001029205388253947,-0.0041132520920951115,0.40254752927201487,0.39458069277195373,17832410.90602544,2015,4,5.35,30.88,123.4,534.972,ERA5_real
2015-05-01,287.79595784958957,0.0019674851003384257,-0.006833036791008194,0.3378955488086186,0.33719952864840586,19913928.55379128,2015,5,14.65,60.99,211.82,617.332,ERA5_real
2015-06-01,294.7112194129682,0.0011989004356577793,-0.009503739378603278,0.2702412589578841,0.27716731520629534,24415811.11284179,2015,6,21.56,35.97,285.11,732.474,ERA5_real
2015-07-01,293.94260530034376,0.001695316765456247,-0.009354337377561221,0.2594681968815527,0.24382088228799806,21258351.927567296,2015,7,20.79,52.55,289.98,659.009,ERA5_real
2015-08-01,291.3271162519539,0.0010465277246507702,-0.008199029021982064,0.2482967611769486,0.2356325683493188,18194494.36493645,2015,8,18.18,32.44,254.17,564.029,ERA5_real
2015-09-01,285.8007568228511,0.0010107462649433488,-0.0049451720300701186,0.2776761759533286,0.25335709234354115,12265224.369704362,2015,9,12.65,30.32,148.36,367.957,ERA5_real
2015-10-01,276.4851046735984,0.001370514054175391,-0.003079394206711473,0.30723325952027214,0.2757318221124956,6760192.680426061,2015,10,3.34,42.49,95.46,209.566,ERA5_real
2015-11-01,267.1291841955154,0.0014120863571709284,-0.0006526983923845149,0.34642064297764813,0.3222948747584572,3605356.619397446,2015,11,-6.02,42.36,19.58,108.161,ERA5_real
2015-12-01,267.06292455185076,0.0015941158130905932,-0.0003238645268365337,0.3591766435501634,0.33573936466392773,2486893.619883675,2015,12,-6.09,49.42,10.04,77.094,ERA5_real
2016-01-01,257.0911376266254,0.0008228066302690996,-0.00010352124413122439,0.34656878305613137,0.3301883511157868,3962176.9831776987,2016,1,-16.06,25.51,3.21,122.827,ERA5_real
2016-02-01,266.11948962054294,0.0006528204624673645,-0.0003331854622596974,0.3548525785751176,0.32787461053087197,7011184.096720688,2016,2,-7.03,18.93,9.66,203.324,ERA5_real
2016-03-01,271.5046827582442,0.001142230064684161,-0.001426129501427855,0.39917234616515834,0.38167274080897257,11540909.307771565,2016,3,-1.65,35.41,44.21,357.768,ERA5_real
2016-04-01,281.73296332343375,0.0011611271489232286,-0.004576189002174012,0.38029319044040266,0.38451662349114757,16925340.63531634,2016,4,8.58,34.83,137.29,507.76,ERA5_real
2016-05-01,286.82300457480176,0.000761882232436342,-0.00837879233206354,0.2750329801781492,0.29530030565786497,22619093.40770098,2016,5,13.67,23.62,259.74,701.192,ERA5_real
2016-06-01,291.8509315937344,0.002203607681584575,-0.008116237477522796,0.2803278505185885,0.26176831970715797,20667386.72315552,2016,6,18.7,66.11,243.49,620.022,ERA5_real
2016-07-01,293.6089189251952,0.002921600854930597,-0.006757762162074955,0.32299685739764694,0.29746436689351047,19296696.203174442,2016,7,20.46,90.57,209.49,598.198,ERA5_real
2016-08-01,294.29747734153415,0.00042574185110906364,-0.008202720228615618,0.24194761683010874,0.2616285558061142,20069692.725565355,2016,8,21.15,13.2,254.28,622.16,ERA5_real
2016-09-01,287.5913387829286,0.00127021830524482,-0.0056944430497504915,0.2648997457566258,0.24924619035172552,12962688.726196088,2016,9,14.44,38.11,170.83,388.881,ERA5_real
2016-10-01,273.6704508716149,0.001212832454993107,-0.001590593596126193,0.32474290222034213,0.29488491862256067,5820548.068490113,2016,10,0.52,37.6,49.31,180.437,ERA5_real
2016-11-01,263.2976062388023,0.0011685168656512576,-0.0006533363912368616,0.35084278804159724,0.3305901600882606,3853195.156258038,2016,11,-9.85,35.06,19.6,115.596,ERA5_real
