year,region,crop,district,area_ha,production_ton,yield_kgha,source
1996,Костанайская область,Ячмень,Область (итого),546500.0,542000.0,990.0,stat_gov_kz_real
1997,Костанайская область,Ячмень,Область (итого),565100.0,556100.0,1040.0,stat_gov_kz_real
1998,Костанайская область,Ячмень,Область (итого),331800.0,102600.0,390.0,stat_gov_kz_real
1999,Костанайская область,Ячмень,Область (итого),244800.0,315900.0,1340.0,stat_gov_kz_real
2000,Костанайская область,Ячмень,Область (итого),220600.0,155200.0,800.0,stat_gov_kz_real
2001,Костанайская область,Ячмень,Область (итого),188600.00000000003,249300.0,1320.0,stat_gov_kz_real
2002,Костанайская область,Ячмень,Область (итого),150100.0,162200.0,1090.0,stat_gov_kz_real
2003,Костанайская область,Ячмень,Область (итого),174300.0,199100.0,1140.0,stat_gov_kz_real
2004,Костанайская область,Ячмень,Область (итого),174800.0,117410.0,680.0,stat_gov_kz_real
2005,Костанайская область,Ячмень,Область (итого),175000.0,197500.0,1140.0,stat_gov_kz_real
2006,Костанайская область,Ячмень,Область (итого),215800.0,297300.0,1390.0,stat_gov_kz_real
2007,Костанайская область,Ячмень,Область (итого),203699.99999999997,335220.0,1660.0000000000002,stat_gov_kz_real
2008,Костанайская область,Ячмень,Область (итого),241000.00000000003,289200.0,1200.0,stat_gov_kz_real
2009,Костанайская область,Ячмень,Область (итого),181500.00000000003,210400.0,1170.0,stat_gov_kz_real
2010,Костанайская область,Ячмень,Область (итого),155500.0,122400.0,830.0000000000001,stat_gov_kz_real
2011,Костанайская область,Ячмень,Область (итого),180800.0,386600.0,2138.6299999999997,stat_gov_kz_real
2012,Костанайская область,Ячмень,Область (итого),253222.46,139400.0,590.0,stat_gov_kz_real
2013,Костанайская область,Ячмень,Область (итого),252493.7,306800.0,1220.0,stat_gov_kz_real
2014,Костанайская область,Ячмень,Область (итого),256055.7,282800.0,1140.0,stat_gov_kz_real
2015,Костанайская область,Ячмень,Область (итого),316058.9,371100.0,1180.0,stat_gov_kz_real
2016,Костанайская область,Ячмень,Область (итого),262828.4,388100.0,1480.0,stat_gov_kz_real
2017,Костанайская область,Ячмень,Область (итого),322300.0,468000.0,1470.0,stat_gov_kz_real
2018,Костанайская область,Ячмень,Область (итого),422347.7,578800.0,1380.0,stat_gov_kz_real
2019,Костанайская область,Ячмень,Область (итого),528426.2,438900.0,840.0,stat_gov_kz_real
2020,Костанайская область,Ячмень,Область (итого),457952.24,437400.0,969.9999999999999,stat_gov_kz_real
2021,Костанайская область,Ячмень,Область (итого),302586.87,162400.0,580.0,stat_gov_kz_real
2022,Костанайская область,Ячмень,Область (итого),281982.21,421800.0,1500.0,stat_gov_kz_real
2023,Костанайская область,Ячмень,Область (итого),383054.8,427100.0,1210.0,stat_gov_kz_real
2024,Костанайская область,Ячмень,Область (итого),378595.6,577900.0,1550.0,stat_gov_kz_real
2025,Костанайская область,Ячмень,Область (итого),399000.0,596761.3,1550.0,stat_gov_kz_real
1999,Костанайская область,Подсолнечник,Рудный г.а.,,10.0,1200.0,stat_gov_kz_real
2000,Костанайская область,Подсолнечник,Рудный г.а.,,,1090.0,stat_gov_kz_real
2001,Костанайская область,Подсолнечник,Рудный г.а.,,,980.0000000000001,stat_gov_kz_real
2002,Костанайская область,Подсолнечник,Рудный г.а.,,,1000.0,stat_gov_kz_real
2003,Костанайская область,Подсолнечник,Рудный г.а.,,,1130.0,stat_gov_kz_real
2004,Костанайская область,Подсолнечник,Рудный г.а.,,,750.0,stat_gov_kz_real
2005,Костанайская область,Подсолнечник,Рудный г.а.,,,750.0,stat_gov_kz_real
2006,Костанайская область,Подсолнечник,Рудный г.а.,0.0,0.0,350.0,stat_gov_kz_real
2003,Костанайская область,Пшеница,Рудный г.а.,200.0,100.0,610.0,stat_gov_kz_real
